,Unnamed: 0,Accel,Decel,tau,lb,actionStepLength,minGap,error,jmDriveAfterYellowTime
16,25,1.258402751213353,3.6584840231682074,3.101579712378374,3.578219280487873,0.3048994065791192,4.158408168464615,0.1236270762072845,0
17,27,3.2047222264814703,3.143389867943223,4.586780543231384,1.537275071360918,1.425023580343234,6.558660141222266,0.059696418760956,0
18,28,3.7552410442418016,4.1587339749554975,2.63773730658702,2.649578224407977,1.6819209033823284,6.385510836532167,0.0134223025084644,0
19,29,2.380990135535451,2.126821863854583,3.874857876445588,1.6315378347497531,0.5572450893296328,5.233825002688155,0.023190213780692,0
20,30,1.2165998623758534,4.060206955677478,2.452208736604713,1.9066643141706083,0.9847516025528787,5.689932500825535,0.0008418831350171,0
21,31,4.27874091310413,3.019260839499856,3.755007046610327,3.907930267391511,1.0658925761548452,7.146366990719724,3.0050123446724863e-05,0
22,33,0.809690835769338,3.6510663605054128,2.9500934064416118,3.234773854159529,0.1871312703827402,5.212206136742767,0.0143192202290712,0
23,34,4.223823919204234,2.8615045804233725,2.972022671163758,3.468693858644183,1.7736777089142115,5.262308978284182,0.0365191717512756,0
24,36,2.148801365178844,1.1017570132540766,2.7085113870653927,2.272172638242621,1.0473365291159311,6.521633533795328,0.0314610626626152,0
25,37,1.8785573945724572,1.102622333247135,3.0994900211539878,2.2278172942345527,1.6259465940578757,3.71704442590271,0.1202141097780697,0
26,40,2.8147294751514416,1.5139020602077855,2.538562136547629,2.1786717155179893,1.6658188452070608,5.11616481289333,2.9150357627067067e-05,0
27,41,1.284354237829957,0.9653301225701012,2.577383930307148,3.198090580048876,1.0995752125851872,2.694005281764204,0.0857381339501902,0
28,42,1.4106290543173112,3.288493929460464,4.60762567095833,1.8104864433552752,0.7800307893762227,3.176362945378357,0.0417155332619301,0
29,45,1.7946474368072662,3.553027341456036,4.577050203891105,3.817719079784127,1.434887100305769,7.997313812338962,0.0478229786112826,0
30,46,1.8541162896769685,3.704904514697328,2.237185880159911,2.8857511978075263,1.7882364686797996,3.4184196038200865,0.0771509500565741,0
31,47,2.8879969596564314,3.8007515278682567,2.362481713666967,3.717943896589991,0.1919986484050347,5.581723821746639,0.1338773260597243,0
32,50,3.170936174108627,1.2886254897304024,4.418536939279346,1.424436732662819,1.1970522164419954,4.3615178251191615,0.1525441002364644,0
33,52,2.7863647761399264,3.664873403157991,1.6056817071342977,3.5999896937605644,1.801692694476029,6.003968027840162,0.1052131035345551,0
34,53,3.479698223020109,2.519469491525575,3.5624167088394376,2.7658341430376208,1.918520355776559,4.546447758402151,0.0804444808142074,0
35,56,4.2443436416140745,1.3316504979625492,4.170461732758931,1.9348226277477327,1.4649338830987777,5.075840925915126,0.0924169492145613,0
36,60,2.022369900530128,3.528473245456017,2.4513769418411537,1.9962315427133897,1.5124622646707973,3.85575267436235,0.1306616012609785,0
37,62,2.3098993808016086,1.1493133112583551,3.5607493999823747,3.110332809398556,1.4857848610217828,3.664930417816671,0.0420978377945386,0
